 doy | total 
-----+-------
   0 |      
   1 |     2
   2 |      
   3 |     2
   4 |     1
   5 |     1
   6 |     2
   7 |     3
   8 |     2
   9 |     2
  10 |     7
  11 |     4
  12 |      
  13 |     2
  14 |     4
  15 |     7
  16 |      
  17 |     6
  18 |     3
  19 |     2
  20 |     2
  21 |     7
  22 |     7
  23 |     3
  24 |     3
  25 |     6
  26 |    11
  27 |     6
  28 |     2
  29 |     4
  30 |     5
  31 |     7
  32 |     8
  33 |    12
  34 |    13
  35 |    16
  36 |    18
  37 |    50
  38 |   689
  39 |   719
  40 |   694
  41 |   723
  42 |   752
  43 |   762
  44 |   754
  45 |   737
  46 |   727
  47 |   723
  48 |   739
  49 |   748
  50 |   762
  51 |   745
  52 |   751
  53 |   684
  54 |   681
  55 |   621
  56 |    59
  57 |   593
  58 |    17
  59 |    34
  60 |   592
  61 |   682
  62 |   656
  63 |   708
  64 |   714
  65 |   695
  66 |   709
  67 |   747
  68 |   729
  69 |   718
  70 |   754
  71 |   743
  72 |   713
  73 |   746
  74 |   772
  75 |   774
  76 |   772
  77 |   754
  78 |   749
  79 |   713
  80 |   698
  81 |     5
  82 |     8
  83 |     3
  84 |     5
  85 |     5
  86 |     7
  87 |     2
  88 |     6
  89 |     7
  90 |    11
  91 |    17
  92 |    24
  93 |    27
  94 |    98
  95 |   691
  96 |   714
  97 |   691
  98 |   695
  99 |   756
 100 |   766
 101 |   749
 102 |   726
 103 |   717
 104 |    14
 105 |    15
 106 |    11
 107 |    23
 108 |    91
 109 |   717
 110 |   691
 111 |   685
 112 |   736
 113 |   711
 114 |   729
 115 |   712
 116 |   701
 117 |   710
 118 |   607
 119 |    10
 120 |    14
 121 |    39
 122 |    15
 123 |   500
 124 |   696
 125 |   704
 126 |   716
 127 |   712
 128 |   696
 129 |   691
 130 |   686
 131 |   732
 132 |   740
 133 |   732
 134 |   746
 135 |   753
 136 |   742
 137 |   723
 138 |   754
 139 |   780
 140 |   763
 141 |   750
 142 |   528
 143 |    22
 144 |   635
 145 |     6
 146 |     9
 147 |     1
 148 |     5
 149 |     4
 150 |     6
 151 |     7
 152 |    32
 153 |     8
 154 |    12
 155 |     3
 156 |    10
 157 |     7
 158 |    22
 159 |   675
 160 |   716
 161 |   705
 162 |   725
 163 |   687
 164 |   714
 165 |   725
 166 |   720
 167 |   700
 168 |   724
 169 |   722
 170 |   675
 171 |   666
 172 |   655
 173 |   681
 174 |   651
 175 |   677
 176 |   634
 177 |   667
 178 |   601
 179 |     8
 180 |    10
 181 |    11
 182 |   300
 183 |    17
 184 |   603
 185 |   702
 186 |   705
 187 |   705
 188 |   413
 189 |   375
 190 |   373
 191 |   412
 192 |   571
 193 |   375
 194 |   645
 195 |   394
 196 |   532
 197 |   527
 198 |   534
 199 |   496
 200 |   330
 201 |   497
 202 |   423
 203 |   487
 204 |   268
 205 |   454
 206 |   303
 207 |   281
 208 |     5
 209 |     5
 210 |     7
 211 |     3
 212 |    17
 213 |   270
 214 |     5
 215 |    13
 216 |    10
 217 |     4
 218 |     9
 219 |    70
 220 |   414
 221 |   353
 222 |   416
 223 |   418
 224 |   404
 225 |   402
 226 |   402
 227 |   394
 228 |   339
 229 |    14
 230 |    31
 231 |   386
 232 |   378
 233 |   366
 234 |   479
 235 |   384
 236 |   396
 237 |   398
 238 |   443
 239 |   410
 240 |   457
 241 |   408
 242 |    18
 243 |   373
 244 |   438
 245 |   445
 246 |   433
 247 |   433
 248 |   503
 249 |   418
 250 |   435
 251 |   425
 252 |     6
 253 |    12
 254 |    31
 255 |   350
 256 |   602
 257 |   388
 258 |   377
 259 |      
 260 |     1
 261 |      
 262 |      
 263 |     1
 264 |     3
 265 |     3
 266 |     2
 267 |     2
 268 |     3
 269 |     4
 270 |     2
 271 |     2
 272 |     1
 273 |     2
 274 |      
 275 |     2
 276 |     2
 277 |     3
 278 |     3
 279 |     1
 280 |     6
 281 |      
 282 |     5
 283 |     6
 284 |     8
 285 |     8
 286 |    14
 287 |     4
 288 |    11
 289 |   348
 290 |    12
 291 |     3
 292 |     5
 293 |     4
 294 |     3
 295 |    11
 296 |    10
 297 |    10
 298 |    18
 299 |   398
 300 |   569
 301 |   420
 302 |   415
 303 |   443
 304 |   441
 305 |   457
 306 |   532
 307 |   420
 308 |   475
 309 |   494
 310 |   602
 311 |   443
 312 |   378
 313 |   371
 314 |   393
 315 |   405
 316 |   401
 317 |   439
 318 |   641
 319 |   428
 320 |   433
 321 |   457
 322 |   434
 323 |   475
 324 |   525
 325 |   694
 326 |   485
 327 |   492
 328 |   483
 329 |   500
 330 |   592
 331 |   723
 332 |   627
 333 |   642
 334 |      
 335 |      
 336 |      
 337 |      
 338 |      
 339 |      
 340 |      
 341 |      
 342 |      
 343 |      
 344 |      
 345 |      
 346 |      
 347 |      
 348 |      
 349 |      
 350 |      
 351 |      
 352 |      
 353 |      
 354 |      
 355 |      
 356 |      
 357 |      
 358 |      
 359 |      
 360 |      
 361 |      
 362 |      
 363 |      
 364 |      
 365 |      
(366 rows)

