 doy | total  
-----+--------
   0 |       
   1 |   1209
   2 |   1350
   3 |   1523
   4 |   1590
   5 |   1610
   6 |   1677
   7 |   1589
   8 |   1618
   9 |   1812
  10 |   1863
  11 |   2071
  12 |   2436
  13 |   2271
  14 |   1930
  15 |   2248
  16 |   2609
  17 |   3012
  18 |   3425
  19 |   3595
  20 |   2825
  21 |   2617
  22 |   2563
  23 |   2573
  24 |   2598
  25 |   2092
  26 |   1970
  27 |   1648
  28 |   1829
  29 |   4183
  30 |   2836
  31 |   3244
  32 |   3988
  33 |   4974
  34 |   5286
  35 |   6803
  36 |   9259
  37 |  19588
  38 | 103509
  39 | 105173
  40 | 102696
  41 | 102492
  42 | 102270
  43 | 103723
  44 | 106730
  45 | 108178
  46 | 109083
  47 | 109831
  48 | 108680
  49 | 105786
  50 | 104248
  51 | 105616
  52 | 106902
  53 | 106913
  54 | 106553
  55 |  99792
  56 |  22065
  57 |  89117
  58 |   9010
  59 |  13052
  60 | 109248
  61 | 110495
  62 | 110251
  63 | 110550
  64 | 108535
  65 | 110164
  66 | 106082
  67 | 108594
  68 | 110769
  69 | 113288
  70 | 106769
  71 | 105431
  72 | 111740
  73 | 113482
  74 | 114106
  75 | 129777
  76 | 135420
  77 | 131759
  78 | 134581
  79 | 136357
  80 | 133934
  81 |   2494
  82 |   2796
  83 |   3018
  84 |   3316
  85 |   3622
  86 |   4294
  87 |   5166
  88 |   6220
  89 |   7730
  90 |   9310
  91 |  21948
  92 |  13320
  93 |  17924
  94 |  58711
  95 | 133596
  96 | 134040
  97 | 126776
  98 | 139384
  99 | 141565
 100 | 139755
 101 | 136649
 102 | 145907
 103 | 140514
 104 |   7822
 105 |   8981
 106 |  12198
 107 |  18455
 108 |  41459
 109 | 139346
 110 | 129170
 111 | 129368
 112 | 127939
 113 | 130590
 114 | 131058
 115 | 130324
 116 | 130080
 117 | 131765
 118 | 117789
 119 |  10801
 120 |  15174
 121 |  26387
 122 |  17644
 123 |  58685
 124 | 143354
 125 | 144363
 126 | 144326
 127 | 142587
 128 | 142632
 129 | 140901
 130 | 144063
 131 | 145242
 132 | 144227
 133 | 144018
 134 | 142265
 135 | 143576
 136 | 145458
 137 | 146763
 138 | 146253
 139 | 146684
 140 | 144978
 141 | 145106
 142 | 101534
 143 |  32857
 144 | 128144
 145 |   2404
 146 |   2841
 147 |   3399
 148 |   3475
 149 |   2856
 150 |   2666
 151 |   3318
 152 |  31540
 153 |   5895
 154 |   7556
 155 |   9861
 156 |  12032
 157 |  13632
 158 |  21448
 159 | 148537
 160 | 144438
 161 | 125482
 162 | 125650
 163 | 138943
 164 | 150925
 165 | 151830
 166 | 153159
 167 | 153621
 168 | 152986
 169 | 150845
 170 | 151731
 171 | 151041
 172 | 133178
 173 | 132526
 174 | 132336
 175 | 129258
 176 | 127782
 177 | 129420
 178 | 115917
 179 |   6945
 180 |  12514
 181 |   8883
 182 | 106390
 183 |  22232
 184 | 137914
 185 | 146002
 186 | 148274
 187 | 144844
 188 |  97022
 189 |  86978
 190 |  89422
 191 |  94663
 192 | 116484
 193 |  88658
 194 | 138417
 195 |  92140
 196 | 115062
 197 | 110409
 198 | 113398
 199 | 106267
 200 |  87675
 201 | 108936
 202 | 105662
 203 | 111473
 204 |  65267
 205 | 106580
 206 |  84198
 207 |  56425
 208 |   4475
 209 |   5055
 210 |   6179
 211 |   8204
 212 |  12370
 213 |  68911
 214 |   4548
 215 |   5101
 216 |   6624
 217 |   8429
 218 |  12873
 219 |  35360
 220 |  84327
 221 |  76530
 222 |  89892
 223 |  92204
 224 |  82478
 225 |  87338
 226 |  87763
 227 |  88443
 228 |  81671
 229 |  12298
 230 |  25137
 231 |  89634
 232 |  88791
 233 |  90123
 234 | 102924
 235 |  80165
 236 |  82782
 237 |  83842
 238 |  88221
 239 |  83801
 240 |  90307
 241 |  84049
 242 |  14441
 243 |  83254
 244 |  89381
 245 |  87576
 246 |  87565
 247 |  91188
 248 | 106373
 249 |  89289
 250 |  91136
 251 |  89466
 252 |   8908
 253 |  12381
 254 |  17336
 255 |  92263
 256 | 125804
 257 |  87743
 258 |  81124
 259 |   1494
 260 |   1563
 261 |   1277
 262 |   1273
 263 |   1041
 264 |   1095
 265 |   1160
 266 |   1564
 267 |   1941
 268 |   1734
 269 |   1852
 270 |   2103
 271 |   1946
 272 |   2225
 273 |   2848
 274 |   2829
 275 |   2657
 276 |   2593
 277 |   2100
 278 |   2325
 279 |   2881
 280 |   3091
 281 |   4085
 282 |   4077
 283 |   4364
 284 |   6025
 285 |   6194
 286 |   7562
 287 |   9162
 288 |  13509
 289 |  71658
 290 |   3741
 291 |   3981
 292 |   4321
 293 |   4878
 294 |   5339
 295 |   6913
 296 |  12080
 297 |  10676
 298 |  16426
 299 |  88204
 300 | 124743
 301 |  93291
 302 |  89071
 303 |  99959
 304 |  95141
 305 | 100561
 306 | 114379
 307 |  87606
 308 |  94822
 309 |  96197
 310 | 118139
 311 |  92892
 312 |  88984
 313 |  89290
 314 |  92955
 315 |  95102
 316 |  91781
 317 |  97860
 318 | 127996
 319 |  91152
 320 |  93171
 321 |  93261
 322 |  89484
 323 |  97456
 324 |  95113
 325 | 129074
 326 |  90760
 327 |  90220
 328 |  92009
 329 |  95387
 330 | 120615
 331 | 143473
 332 | 125784
 333 | 122388
 334 |       
 335 |       
 336 |       
 337 |       
 338 |       
 339 |       
 340 |       
 341 |       
 342 |       
 343 |       
 344 |       
 345 |       
 346 |       
 347 |       
 348 |       
 349 |       
 350 |       
 351 |       
 352 |       
 353 |       
 354 |       
 355 |       
 356 |       
 357 |       
 358 |       
 359 |       
 360 |       
 361 |       
 362 |       
 363 |       
 364 |       
 365 |       
(366 rows)

