 partition_code | cnt_total | cnt_reroute | cnt_alley | cnt_alley_only | cnt_coast 
----------------+-----------+-------------+-----------+----------------+-----------
 B              |       403 |          30 |       399 |            370 |        15
 C              |       403 |          27 |       397 |            370 |        14
 D              |       471 |          37 |       437 |            400 |        23
 E              |       453 |          28 |       451 |            423 |        17
 F              |       360 |          20 |       355 |            335 |        12
 G              |       387 |          26 |       370 |            345 |        13
 H              |       348 |          28 |       320 |            292 |        11
 I              |       184 |           9 |       165 |            156 |         5
 J              |        66 |           3 |        22 |             19 |         1
 K              |       500 |          47 |       455 |            412 |        20
(10 rows)

